raceId,year,driverId,constructorId,round,grid,position,circuitId,points_driver,points_constructor,wins,wins_constructor
18,2008,1,1,1,1,1,1,10.0,14.0,1,1
18,2008,2,2,1,5,2,1,8.0,8.0,0,0
18,2008,3,3,1,7,3,1,6.0,9.0,0,0
18,2008,4,4,1,11,4,1,5.0,5.0,0,0
18,2008,5,1,1,3,5,1,4.0,14.0,0,1
18,2008,6,3,1,13,6,1,3.0,9.0,0,0
18,2008,7,5,1,17,7,1,2.0,2.0,0,0
18,2008,8,6,1,15,8,1,1.0,1.0,0,0
19,2008,8,6,2,2,1,2,11.0,11.0,1,1
19,2008,9,2,2,4,2,2,8.0,19.0,0,0
19,2008,5,1,2,8,3,2,10.0,24.0,0,1
19,2008,15,7,2,3,4,2,5.0,5.0,0,0
19,2008,1,1,2,9,5,2,14.0,24.0,1,1
19,2008,2,2,2,5,6,2,11.0,19.0,0,0
19,2008,17,9,2,6,7,2,2.0,2.0,0,0
19,2008,4,4,2,7,8,2,6.0,6.0,0,0
19,2008,14,9,2,12,9,2,0.0,2.0,0,0
19,2008,18,11,2,11,10,2,0.0,0.0,0,0
19,2008,12,4,2,13,11,2,0.0,6.0,0,0
19,2008,21,10,2,17,12,2,0.0,0.0,0,0
19,2008,22,11,2,14,13,2,0.0,0.0,0,0
19,2008,3,3,2,16,14,2,6.0,9.0,0,0
19,2008,19,8,2,21,15,2,0.0,0.0,0,0
19,2008,11,8,2,19,16,2,0.0,0.0,0,0
19,2008,6,3,2,22,17,2,3.0,9.0,0,0
19,2008,7,5,2,18,\N,2,2.0,2.0,0,0
20,2008,13,6,3,2,1,3,10.0,29.0,1,2
20,2008,8,6,3,4,2,3,19.0,29.0,1,2
20,2008,9,2,3,1,3,3,14.0,30.0,0,0
20,2008,2,2,3,6,4,3,16.0,30.0,0,0
20,2008,5,1,3,5,5,3,14.0,28.0,0,1
20,2008,15,7,3,7,6,3,8.0,8.0,0,0
20,2008,17,9,3,11,7,3,4.0,4.0,0,0
20,2008,3,3,3,8,8,3,7.0,10.0,0,0
20,2008,10,7,3,13,9,3,0.0,8.0,0,0
20,2008,4,4,3,10,10,3,6.0,6.0,0,0
20,2008,22,11,3,12,11,3,0.0,0.0,0,0
20,2008,21,10,3,18,12,3,0.0,0.0,0,0
20,2008,1,1,3,3,13,3,14.0,28.0,1,1
20,2008,6,3,3,16,14,3,3.0,10.0,0,0
20,2008,7,5,3,15,15,3,2.0,2.0,0,0
20,2008,19,8,3,21,16,3,0.0,0.0,0,0
20,2008,11,8,3,22,17,3,0.0,0.0,0,0
20,2008,14,9,3,17,18,3,0.0,4.0,0,0
20,2008,16,10,3,20,19,3,0.0,0.0,0,0
20,2008,12,4,3,14,\N,3,0.0,6.0,0,0
20,2008,18,11,3,9,\N,3,0.0,0.0,0,0
21,2008,8,6,4,1,1,4,29.0,47.0,2,3
21,2008,13,6,4,3,2,4,18.0,47.0,1,3
21,2008,1,1,4,5,3,4,20.0,34.0,1,1
21,2008,9,2,4,4,4,4,19.0,35.0,0,0
21,2008,17,9,4,7,5,4,8.0,8.0,0,0
21,2008,18,11,4,13,6,4,3.0,3.0,0,0
21,2008,6,3,4,12,7,4,5.0,12.0,0,0
21,2008,15,7,4,8,8,4,9.0,9.0,0,0
21,2008,2,2,4,9,9,4,16.0,35.0,0,0
21,2008,21,10,4,19,10,4,0.0,0.0,0,0
21,2008,10,7,4,14,11,4,0.0,9.0,0,0
21,2008,14,9,4,17,12,4,0.0,8.0,0,0
21,2008,11,8,4,22,13,4,0.0,0.0,0,0
21,2008,3,3,4,15,\N,4,7.0,12.0,0,0
21,2008,4,4,4,2,\N,4,6.0,6.0,0,0
21,2008,22,11,4,11,\N,4,0.0,3.0,0,0
21,2008,5,1,4,6,\N,4,14.0,34.0,0,1
21,2008,19,8,4,21,\N,4,0.0,0.0,0,0
21,2008,7,5,4,16,\N,4,2.0,2.0,0,0
21,2008,12,4,4,10,\N,4,0.0,6.0,0,0
21,2008,16,10,4,20,\N,4,0.0,0.0,0,0
22,2008,13,6,5,1,1,5,28.0,63.0,2,4
22,2008,1,1,5,3,2,5,28.0,42.0,1,1
22,2008,8,6,5,4,3,5,35.0,63.0,2,4
22,2008,9,2,5,5,4,5,24.0,44.0,0,0
22,2008,2,2,5,9,5,5,20.0,44.0,0,0
22,2008,4,4,5,7,6,5,9.0,9.0,0,0
22,2008,17,9,5,6,7,5,10.0,10.0,0,0
22,2008,3,3,5,11,8,5,8.0,13.0,0,0
22,2008,14,9,5,10,9,5,0.0,10.0,0,0
22,2008,15,7,5,8,10,5,9.0,9.0,0,0
22,2008,18,11,5,13,11,5,3.0,3.0,0,0
22,2008,5,1,5,2,12,5,14.0,42.0,0,1
22,2008,10,7,5,15,13,5,0.0,9.0,0,0
22,2008,22,11,5,12,14,5,0.0,3.0,0,0
